Date,Incidents
01/01/1991,173.3
01/01/1992,169.17
01/01/1993,165.7
01/01/1994,163.12
01/01/1995,161.65
01/01/1996,160.94
01/01/1997,160.44
01/01/1998,160.14
01/01/1999,160.04
01/01/2000,160.11
01/01/2001,160.53
01/01/2002,161.28
01/01/2003,162.11
01/01/2004,162.78
01/01/2005,163.03
01/01/2006,162.82
01/01/2007,162.3
01/01/2008,161.55
01/01/2009,160.66
01/01/2010,159.71
01/01/2011,158.06
01/01/2012,155.48
01/01/2013,152.71
01/01/2014,150.5
01/01/2015,149.58
01/01/2016,153.78
01/01/2017,158.25
01/01/2018,158.42
01/01/2019,157.19
